trial_id,participant_id,condition_code,explanation_condition,intervention_authority,scenario_block,block_trial,ai_inferred_state,ai_correct,accepted_intervention,verified_before_response,response,response_time_ms,lane_deviation_m,speed_variability_kmh,confidence_displayed,data_type
T0016,P002,NE_AUTO,no_explanation,automatic,fatigue,4,stress,0,1,0,allow_to_continue,899,0.314,4.55,,synthetic_example
T0017,P002,NE_AUTO,no_explanation,automatic,fatigue,5,fatigue,1,1,1,allow_to_continue,945,0.332,5.34,,synthetic_example
T0018,P002,NE_AUTO,no_explanation,automatic,fatigue,6,stress,0,1,0,allow_to_continue,849,0.255,2.75,,synthetic_example
T0019,P002,NE_AUTO,no_explanation,automatic,stress,1,fatigue,0,1,0,allow_to_continue,1035,0.133,5.13,,synthetic_example
T0020,P002,NE_AUTO,no_explanation,automatic,stress,2,fatigue,0,1,1,allow_to_continue,1433,0.275,7.14,,synthetic_example
T0021,P002,NE_AUTO,no_explanation,automatic,stress,3,stress,1,0,1,override,1614,0.427,4.84,,synthetic_example
T0022,P002,NE_AUTO,no_explanation,automatic,stress,4,stress,1,1,1,allow_to_continue,1866,0.261,6.55,,synthetic_example
T0023,P002,NE_AUTO,no_explanation,automatic,stress,5,stress,1,1,0,allow_to_continue,1255,0.322,6.44,,synthetic_example
T0024,P002,NE_AUTO,no_explanation,automatic,stress,6,fatigue,0,1,0,allow_to_continue,1437,0.329,5.48,,synthetic_example
T0025,P003,NE_AUTO,no_explanation,automatic,fatigue,1,stress,0,1,0,allow_to_continue,2073,0.184,4.54,,synthetic_example
T0026,P003,NE_AUTO,no_explanation,automatic,fatigue,2,fatigue,1,1,0,allow_to_continue,1629,0.253,4.95,,synthetic_example
T0027,P003,NE_AUTO,no_explanation,automatic,fatigue,3,stress,0,1,0,allow_to_continue,1687,0.203,3.06,,synthetic_example
T0028,P003,NE_AUTO,no_explanation,automatic,fatigue,4,fatigue,1,0,0,override,1062,0.33,3.3,,synthetic_example
T0029,P003,NE_AUTO,no_explanation,automatic,fatigue,5,fatigue,1,1,0,allow_to_continue,1703,0.294,4.83,,synthetic_example
T0030,P003,NE_AUTO,no_explanation,automatic,fatigue,6,stress,0,1,0,allow_to_continue,1353,0.466,4.85,,synthetic_example
T0031,P003,NE_AUTO,no_explanation,automatic,stress,1,stress,1,1,0,allow_to_continue,1271,0.461,6.56,,synthetic_example
T0032,P003,NE_AUTO,no_explanation,automatic,stress,2,fatigue,0,1,0,allow_to_continue,1392,0.309,7.53,,synthetic_example
T0033,P003,NE_AUTO,no_explanation,automatic,stress,3,fatigue,0,1,0,allow_to_continue,1584,0.406,5.79,,synthetic_example
T0034,P003,NE_AUTO,no_explanation,automatic,stress,4,stress,1,1,0,allow_to_continue,450,0.21,6.87,,synthetic_example
T0035,P003,NE_AUTO,no_explanation,automatic,stress,5,fatigue,0,0,0,override,525,0.349,5.26,,synthetic_example
T0036,P003,NE_AUTO,no_explanation,automatic,stress,6,stress,1,1,0,allow_to_continue,2017,0.321,5.04,,synthetic_example
T0037,P004,NE_AUTO,no_explanation,automatic,fatigue,1,fatigue,1,1,0,allow_to_continue,1019,0.239,3.76,,synthetic_example
T0038,P004,NE_AUTO,no_explanation,automatic,fatigue,2,stress,0,1,1,allow_to_continue,1018,0.182,3.47,,synthetic_example
T0039,P004,NE_AUTO,no_explanation,automatic,fatigue,3,fatigue,1,1,0,allow_to_continue,938,0.338,4.1,,synthetic_example
T0040,P004,NE_AUTO,no_explanation,automatic,fatigue,4,stress,0,0,1,override,896,0.206,3.88,,synthetic_example
T0041,P004,NE_AUTO,no_explanation,automatic,fatigue,5,stress,0,1,0,allow_to_continue,1061,0.267,5.92,,synthetic_example
T0042,P004,NE_AUTO,no_explanation,automatic,fatigue,6,fatigue,1,1,0,allow_to_continue,1155,0.271,6.62,,synthetic_example
T0043,P004,NE_AUTO,no_explanation,automatic,stress,1,stress,1,0,0,override,450,0.249,7.73,,synthetic_example
T0044,P004,NE_AUTO,no_explanation,automatic,stress,2,fatigue,0,1,0,allow_to_continue,974,0.368,5.47,,synthetic_example
T0045,P004,NE_AUTO,no_explanation,automatic,stress,3,fatigue,0,1,0,allow_to_continue,1216,0.326,8.05,,synthetic_example
T0046,P004,NE_AUTO,no_explanation,automatic,stress,4,stress,1,0,0,override,1592,0.201,7.68,,synthetic_example
T0047,P004,NE_AUTO,no_explanation,automatic,stress,5,fatigue,0,1,0,allow_to_continue,823,0.373,4.92,,synthetic_example
T0048,P004,NE_AUTO,no_explanation,automatic,stress,6,stress,1,0,0,override,1012,0.39,5.79,,synthetic_example
T0049,P005,NE_AUTO,no_explanation,automatic,fatigue,1,fatigue,1,1,0,allow_to_continue,2310,0.359,5.86,,synthetic_example
T0050,P005,NE_AUTO,no_explanation,automatic,fatigue,2,stress,0,1,0,allow_to_continue,881,0.319,5.61,,synthetic_example
T0051,P005,NE_AUTO,no_explanation,automatic,fatigue,3,stress,0,1,0,allow_to_continue,1255,0.335,4.19,,synthetic_example
T0052,P005,NE_AUTO,no_explanation,automatic,fatigue,4,fatigue,1,1,1,allow_to_continue,1403,0.206,7.91,,synthetic_example
T0053,P005,NE_AUTO,no_explanation,automatic,fatigue,5,fatigue,1,1,0,allow_to_continue,1478,0.225,6.82,,synthetic_example
T0054,P005,NE_AUTO,no_explanation,automatic,fatigue,6,stress,0,1,0,allow_to_continue,1599,0.33,5.26,,synthetic_example
T0055,P005,NE_AUTO,no_explanation,automatic,stress,1,fatigue,0,0,0,override,861,0.232,6.47,,synthetic_example
T0056,P005,NE_AUTO,no_explanation,automatic,stress,2,fatigue,0,1,0,allow_to_continue,1064,0.303,6.97,,synthetic_example
T0057,P005,NE_AUTO,no_explanation,automatic,stress,3,stress,1,1,0,allow_to_continue,1574,0.374,6.31,,synthetic_example
T0058,P005,NE_AUTO,no_explanation,automatic,stress,4,stress,1,1,0,allow_to_continue,1018,0.238,6.38,,synthetic_example
T0059,P005,NE_AUTO,no_explanation,automatic,stress,5,fatigue,0,1,0,allow_to_continue,1717,0.366,5.69,,synthetic_example
T0060,P005,NE_AUTO,no_explanation,automatic,stress,6,stress,1,0,0,override,1784,0.429,5.79,,synthetic_example
T0061,P006,NE_AUTO,no_explanation,automatic,fatigue,1,fatigue,1,1,0,allow_to_continue,1738,0.235,3.72,,synthetic_example
T0062,P006,NE_AUTO,no_explanation,automatic,fatigue,2,fatigue,1,0,0,override,589,0.317,3.63,,synthetic_example
T0063,P006,NE_AUTO,no_explanation,automatic,fatigue,3,stress,0,1,0,allow_to_continue,1030,0.39,3.85,,synthetic_example
T0064,P006,NE_AUTO,no_explanation,automatic,fatigue,4,stress,0,1,0,allow_to_continue,1046,0.252,4.18,,synthetic_example
